Wavelength (nm)	Transmission
200.0	2.631907198109898e-11
218.1818181818182	2.631907198109898e-11
236.36363636363637	2.631907198109898e-11
254.54545454545453	1.7344906291344787e-10
272.72727272727275	1.7344906291344787e-10
290.9090909090909	1.7344906291344787e-10
309.09090909090907	1.7344906291344787e-10
327.27272727272725	3.525994057418293e-09
345.45454545454544	3.525994057418293e-09
363.6363636363637	3.525994057418293e-09
381.8181818181818	3.525994057418293e-09
400.0	2.1149929734015265e-09
418.18181818181813	2.1149929734015265e-09
436.3636363636364	2.1149929734015265e-09
454.5454545454545	2.1149929734015265e-09
472.72727272727275	2.1122988633587046e-09
490.9090909090909	2.1122988633587046e-09
509.09090909090907	2.1122988633587046e-09
527.2727272727274	7.309383992662239e-08
545.4545454545455	7.309383992662239e-08
563.6363636363636	7.309383992662239e-08
581.8181818181818	7.309383992662239e-08
600.0	2.61718463310483e-07
618.1818181818181	2.61718463310483e-07
636.3636363636363	2.61718463310483e-07
654.5454545454545	2.61718463310483e-07
672.7272727272727	3.053269680960732e-07
690.9090909090909	3.053269680960732e-07
709.090909090909	3.053269680960732e-07
727.2727272727273	3.053269680960732e-07
745.4545454545455	4.046001680012651e-07
763.6363636363636	4.046001680012651e-07
781.8181818181818	4.046001680012651e-07
800.0	4.046001680012651e-07
818.1818181818181	4.6095263929503846e-07
836.3636363636364	4.6095263929503846e-07
854.5454545454545	4.6095263929503846e-07
872.7272727272727	4.6095263929503846e-07
890.9090909090909	5.137566464543509e-07
909.090909090909	5.137566464543509e-07
927.2727272727273	5.137566464543509e-07
945.4545454545455	6.487184116628528e-07
963.6363636363636	6.487184116628528e-07
981.8181818181818	6.487184116628528e-07
1000.0	6.487184116628528e-07
1018.1818181818181	6.230344362075407e-07
1036.3636363636365	6.230344362075407e-07
1054.5454545454547	6.230344362075407e-07
1072.7272727272727	6.230344362075407e-07
1090.909090909091	7.019708219955867e-07
1109.0909090909092	7.019708219955867e-07
1127.2727272727273	7.019708219955867e-07
1145.4545454545455	7.019708219955867e-07
1163.6363636363635	7.087792035551428e-07
1181.8181818181818	7.087792035551428e-07
1200.0	7.087792035551428e-07
1218.181818181818	7.087792035551428e-07
1236.3636363636363	7.770031765040057e-07
1254.5454545454545	7.770031765040057e-07
1272.7272727272727	7.770031765040057e-07
1290.909090909091	7.770031765040057e-07
1309.0909090909092	8.447619604279549e-07
1327.2727272727273	8.447619604279549e-07
1345.4545454545455	8.447619604279549e-07
1363.6363636363635	8.447619604279549e-07
1381.8181818181818	8.915187936317064e-07
1400.0	8.915187936317064e-07
1418.181818181818	8.915187936317064e-07
1436.3636363636363	7.978235719094564e-07
1454.5454545454545	7.978235719094564e-07
1472.7272727272727	7.978235719094564e-07
1490.909090909091	7.978235719094564e-07
1509.090909090909	1.007153994114396e-06
1527.2727272727273	1.007153994114396e-06
1545.4545454545455	1.007153994114396e-06
1563.6363636363635	1.007153994114396e-06
1581.8181818181818	9.714411049123493e-07
1600.0	9.714411049123493e-07
1618.181818181818	9.714411049123493e-07
1636.3636363636363	9.714411049123493e-07
1654.5454545454547	1.0453265570081144e-06
1672.7272727272727	1.0453265570081144e-06
1690.909090909091	1.0453265570081144e-06
1709.090909090909	1.0453265570081144e-06
1727.2727272727273	9.885266828171485e-07
1745.4545454545455	9.885266828171485e-07
1763.6363636363635	9.885266828171485e-07
1781.8181818181818	9.885266828171485e-07
1800.0	1.0294647098250468e-06
1818.181818181818	1.0294647098250468e-06
1836.3636363636363	1.0294647098250468e-06
1854.5454545454545	1.0294647098250468e-06
1872.7272727272727	1.1483076591223546e-06
1890.909090909091	1.1483076591223546e-06
1909.090909090909	1.1483076591223546e-06
1927.2727272727273	1.055595030295707e-06
1945.4545454545455	1.055595030295707e-06
1963.6363636363635	1.055595030295707e-06
1981.8181818181818	1.055595030295707e-06
2000.0	1.1206327816934258e-06
