time,disp_y_top,stressyy
0,0,0
5e-05,0.0001,0.0040759752434571
0.0001,0.0002,0.0081519047206063
0.00015,0.0003,0.012227739424386
0.0002,0.0004,0.016303430349043
0.00025,0.0005,0.020378928489412
0.0003,0.0006,0.024454184842821
0.00035,0.0007,0.028529150409245
0.0004,0.0008,0.03260377619182
0.00045,0.0009,0.036678013197385
0.0005,0.001,0.040751812437005
0.00055,0.0011,0.044825124926572
0.0006,0.0012,0.048897901687195
0.00065,0.0013,0.052970093745873
0.0007,0.0014,0.057041652136487
0.00075,0.0015,0.061112527898165
0.0008,0.0016,0.065182672079042
0.00085,0.0017,0.069252035734636
0.0009,0.0018,0.073320569928894
0.00095,0.0019,0.077388225734699
0.001,0.002,0.081454954234382
0.00105,0.0021,0.085520706520224
0.0011,0.0022,0.089585433694955
0.00115,0.0023,0.093649086872252
0.0012,0.0024,0.097711617177226
0.00125,0.0025,0.10177297574692
0.0013,0.0026,0.10583311373076
0.00135,0.0027,0.10989198229109
0.0014,0.0028,0.11394953260356
0.00145,0.0029,0.11800571585769
0.0015,0.003,0.12206048325723
0.00155,0.0031,0.12611378602069
0.0016,0.0032,0.13016557538177
0.00165,0.0033,0.13421580258977
0.0017,0.0034,0.13826441891005
0.00175,0.0035,0.14231137562447
0.0018,0.0036,0.14635662403176
0.00185,0.0037,0.15040011544801
0.0019,0.0038,0.15444180120698
0.00195,0.0039,0.1584816326606
0.002,0.004,0.16251956117927
0.00205,0.0041,0.16655553815228
0.0021,0.0042,0.1705895149882
0.00215,0.0043,0.1746214431152
0.0022,0.0044,0.17865127398143
0.00225,0.0045,0.18267895905534
0.0023,0.0046,0.18670444982609
0.00235,0.0047,0.19072769780374
0.0024,0.0048,0.19474865451968
0.00245,0.0049,0.19876727152683
0.0025,0.005,0.20278350039999
0.00255,0.0051,0.20679729273613
0.0026,0.0052,0.21080860015463
0.00265,0.0053,0.21481737429682
0.0027,0.0053999999999999,0.21882356682914
0.00275,0.0054999999999999,0.22282712943885
0.0028,0.0055999999999999,0.22682801383763
0.00285,0.0056999999999999,0.2308261717603
0.0029,0.0057999999999999,0.23482155496568
0.00295,0.0058999999999999,0.23881411523656
0.003,0.0059999999999999,0.24280380437945
0.00305,0.0060999999999999,0.24679057422563
0.0031,0.0061999999999999,0.25077437663017
0.00315,0.0062999999999999,0.25475516347391
0.0032,0.0063999999999999,0.25873288665942
0.00325,0.0064999999999999,0.26270749811648
0.0032999999999999,0.0065999999999999,0.26667894979878
0.0033499999999999,0.0066999999999999,0.27064719368469
0.0033999999999999,0.0067999999999999,0.27461218177739
0.0034499999999999,0.0068999999999999,0.27857386610495
0.0034999999999999,0.0069999999999999,0.28253219872019
0.0035499999999999,0.0070999999999999,0.28648713170029
0.0035999999999999,0.0071999999999999,0.29043861714743
0.0036499999999999,0.0072999999999999,0.29438660718827
0.0036999999999999,0.0073999999999999,0.29833105397394
0.0037499999999999,0.0074999999999999,0.30227190968003
0.0037999999999999,0.0075999999999999,0.30620912650641
0.0038499999999999,0.0076999999999999,0.31014265667697
0.0038999999999999,0.0077999999999999,0.31407245243953
0.0039499999999999,0.0078999999999998,0.31799846606559
0.0039999999999999,0.0079999999999998,0.31844879117666
0.0040499999999999,0.0080999999999998,0.32076538898532
0.0040999999999999,0.0081999999999998,0.32219125925352
0.0041499999999999,0.0082999999999998,0.32235368786932
0.0041999999999999,0.0083999999999998,0.32166905635105
0.0042499999999999,0.0084999999999998,0.31982640557428
0.0042999999999999,0.0085999999999998,0.31721559098255
0.0043499999999999,0.0086999999999998,0.313882984636
0.0043999999999999,0.0087999999999998,0.30949607327235
0.0044499999999999,0.0088999999999998,0.30412860620117
0.0044999999999999,0.0089999999999998,0.29813038478798
0.0045499999999999,0.0090999999999998,0.29093991166502
0.0045999999999999,0.0091999999999998,0.28276525464184
0.0046499999999999,0.0092999999999998,0.27257878286985
0.0046999999999999,0.0093999999999998,0.25958123553597
0.0047499999999999,0.0094999999999998,0.24292071351328
0.0047999999999999,0.0095999999999998,0.22100016701553
0.0048499999999999,0.0096999999999998,0.19947016503421
0.0048999999999999,0.0097999999999998,0.18018671043571
0.0049499999999999,0.0098999999999998,0.16338156594469
0.0049999999999999,0.0099999999999998,0.14762802533519
0.0050499999999999,0.0101,0.13226396504701
0.0050999999999999,0.0102,0.11679069668508
0.0051499999999999,0.0103,0.10131561160738
0.0051999999999999,0.0104,0.084340144751443
0.0052499999999999,0.0105,0.055787956707327
0.0052629687499999,0.0105259375,0.02729047338133
0.0052682421874999,0.010536484375,0.00094076070639487
0.0053182421874999,0.010636484375,0.00094359220137059
0.0053682421874999,0.010736484375,0.00094545684170721
0.0054182421874999,0.010836484375,0.00094411082129786
0.0054682421874999,0.010936484375,0.00094137861701716
0.0055182421874999,0.011036484375,0.00093876619838241
0.0055682421874999,0.011136484375,0.00093628001786033
0.0056182421874999,0.011236484375,0.00093392005194018
0.0056682421874999,0.011336484375,0.00093165035574328
0.0057182421874999,0.011436484375,0.00092948026358786
0.0057682421874998,0.011536484375,0.00092727400768955
0.0058182421874998,0.011636484375,0.00092504068410816
0.0058682421874998,0.011736484375,0.00092287147205512
0.0059182421874998,0.011836484375,0.00092076876590937
0.0059682421874998,0.011936484375,0.00091869983282897
0.0060182421874998,0.012036484375,0.00091667377827811
0.0060682421874998,0.012136484375,0.0009146966253258
0.0061182421874998,0.012236484375,0.0009112342148732
0.0061682421874998,0.012336484375,0.00090925062434862
0.0062182421874998,0.012436484375,0.00090724716652887
0.0062682421874998,0.012536484375,0.00090520728279671
