Wavelength (nm)	Transmission
200.0	2.3006152960364286e-11
218.1818181818182	2.3006152960364286e-11
236.36363636363637	2.3006152960364286e-11
254.54545454545453	1.6067113794196136e-10
272.72727272727275	1.6067113794196136e-10
290.9090909090909	1.6067113794196136e-10
309.09090909090907	1.6067113794196136e-10
327.27272727272725	3.3710567705173233e-09
345.45454545454544	3.3710567705173233e-09
363.6363636363637	3.3710567705173233e-09
381.8181818181818	3.3710567705173233e-09
400.0	2.039900630000091e-09
418.18181818181813	2.039900630000091e-09
436.3636363636364	2.039900630000091e-09
454.5454545454545	2.039900630000091e-09
472.72727272727275	1.8270607007130935e-09
490.9090909090909	1.8270607007130935e-09
509.09090909090907	1.8270607007130935e-09
527.2727272727274	1.7895234826925097e-08
545.4545454545455	1.7895234826925097e-08
563.6363636363636	1.7895234826925097e-08
581.8181818181818	1.7895234826925097e-08
600.0	1.182605835843036e-07
618.1818181818181	1.182605835843036e-07
636.3636363636363	1.182605835843036e-07
654.5454545454545	1.182605835843036e-07
672.7272727272727	1.8147168439441882e-07
690.9090909090909	1.8147168439441882e-07
709.090909090909	1.8147168439441882e-07
727.2727272727273	1.8147168439441882e-07
745.4545454545455	2.0842095442517208e-07
763.6363636363636	2.0842095442517208e-07
781.8181818181818	2.0842095442517208e-07
800.0	2.0842095442517208e-07
818.1818181818181	3.140405664815362e-07
836.3636363636364	3.140405664815362e-07
854.5454545454545	3.140405664815362e-07
872.7272727272727	3.140405664815362e-07
890.9090909090909	3.30131730714397e-07
909.090909090909	3.30131730714397e-07
927.2727272727273	3.30131730714397e-07
945.4545454545455	4.1356675730714956e-07
963.6363636363636	4.1356675730714956e-07
981.8181818181818	4.1356675730714956e-07
1000.0	4.1356675730714956e-07
1018.1818181818181	5.537447027076005e-07
1036.3636363636365	5.537447027076005e-07
1054.5454545454547	5.537447027076005e-07
1072.7272727272727	5.537447027076005e-07
1090.909090909091	5.168491384686379e-07
1109.0909090909092	5.168491384686379e-07
1127.2727272727273	5.168491384686379e-07
1145.4545454545455	5.168491384686379e-07
1163.6363636363635	7.322546373799717e-07
1181.8181818181818	7.322546373799717e-07
1200.0	7.322546373799717e-07
1218.181818181818	7.322546373799717e-07
1236.3636363636363	5.870261739695756e-07
1254.5454545454545	5.870261739695756e-07
1272.7272727272727	5.870261739695756e-07
1290.909090909091	5.870261739695756e-07
1309.0909090909092	7.938614788952527e-07
1327.2727272727273	7.938614788952527e-07
1345.4545454545455	7.938614788952527e-07
1363.6363636363635	7.938614788952527e-07
1381.8181818181818	9.254006657186991e-07
1400.0	9.254006657186991e-07
1418.181818181818	9.254006657186991e-07
1436.3636363636363	1.010373271313116e-06
1454.5454545454545	1.010373271313116e-06
1472.7272727272727	1.010373271313116e-06
1490.909090909091	1.010373271313116e-06
1509.090909090909	1.0427103217431181e-06
1527.2727272727273	1.0427103217431181e-06
1545.4545454545455	1.0427103217431181e-06
1563.6363636363635	1.0427103217431181e-06
1581.8181818181818	9.663396057272495e-07
1600.0	9.663396057272495e-07
1618.181818181818	9.663396057272495e-07
1636.3636363636363	9.663396057272495e-07
1654.5454545454547	1.1161020187714282e-06
1672.7272727272727	1.1161020187714282e-06
1690.909090909091	1.1161020187714282e-06
1709.090909090909	1.1161020187714282e-06
1727.2727272727273	1.141248934794105e-06
1745.4545454545455	1.141248934794105e-06
1763.6363636363635	1.141248934794105e-06
1781.8181818181818	1.141248934794105e-06
1800.0	1.0870497037543403e-06
1818.181818181818	1.0870497037543403e-06
1836.3636363636363	1.0870497037543403e-06
1854.5454545454545	1.0870497037543403e-06
1872.7272727272727	1.0899083370549167e-06
1890.909090909091	1.0899083370549167e-06
1909.090909090909	1.0899083370549167e-06
1927.2727272727273	1.128464168906006e-06
1945.4545454545455	1.128464168906006e-06
1963.6363636363635	1.128464168906006e-06
1981.8181818181818	1.128464168906006e-06
2000.0	1.2115693550886484e-06
