Wavelength (nm)	Transmission
200.0	2.8828005551514005e-11
218.1818181818182	2.8828005551514005e-11
236.36363636363637	2.8828005551514005e-11
254.54545454545453	1.817726540006114e-10
272.72727272727275	1.817726540006114e-10
290.9090909090909	1.817726540006114e-10
309.09090909090907	1.817726540006114e-10
327.27272727272725	3.4769735352773404e-09
345.45454545454544	3.4769735352773404e-09
363.6363636363637	3.4769735352773404e-09
381.8181818181818	3.4769735352773404e-09
400.0	2.6024611109862974e-09
418.18181818181813	2.6024611109862974e-09
436.3636363636364	2.6024611109862974e-09
454.5454545454545	2.6024611109862974e-09
472.72727272727275	1.1835346889734814e-08
490.9090909090909	1.1835346889734814e-08
509.09090909090907	1.1835346889734814e-08
527.2727272727274	2.1435141702714324e-07
545.4545454545455	2.1435141702714324e-07
563.6363636363636	2.1435141702714324e-07
581.8181818181818	2.1435141702714324e-07
600.0	3.8664989104708986e-07
618.1818181818181	3.8664989104708986e-07
636.3636363636363	3.8664989104708986e-07
654.5454545454545	3.8664989104708986e-07
672.7272727272727	6.135006043752226e-07
690.9090909090909	6.135006043752226e-07
709.090909090909	6.135006043752226e-07
727.2727272727273	6.135006043752226e-07
745.4545454545455	6.249880820146136e-07
763.6363636363636	6.249880820146136e-07
781.8181818181818	6.249880820146136e-07
800.0	6.249880820146136e-07
818.1818181818181	6.289879438515306e-07
836.3636363636364	6.289879438515306e-07
854.5454545454545	6.289879438515306e-07
872.7272727272727	6.289879438515306e-07
890.9090909090909	6.596239908662095e-07
909.090909090909	6.596239908662095e-07
927.2727272727273	6.596239908662095e-07
945.4545454545455	7.245099840693729e-07
963.6363636363636	7.245099840693729e-07
981.8181818181818	7.245099840693729e-07
1000.0	7.245099840693729e-07
1018.1818181818181	8.337810587779259e-07
1036.3636363636365	8.337810587779259e-07
1054.5454545454547	8.337810587779259e-07
1072.7272727272727	8.337810587779259e-07
1090.909090909091	7.992169170686938e-07
1109.0909090909092	7.992169170686938e-07
1127.2727272727273	7.992169170686938e-07
1145.4545454545455	7.992169170686938e-07
1163.6363636363635	8.008434200233472e-07
1181.8181818181818	8.008434200233472e-07
1200.0	8.008434200233472e-07
1218.181818181818	8.008434200233472e-07
1236.3636363636363	8.512045985464121e-07
1254.5454545454545	8.512045985464121e-07
1272.7272727272727	8.512045985464121e-07
1290.909090909091	8.512045985464121e-07
1309.0909090909092	8.118847608746869e-07
1327.2727272727273	8.118847608746869e-07
1345.4545454545455	8.118847608746869e-07
1363.6363636363635	8.118847608746869e-07
1381.8181818181818	9.403349392490421e-07
1400.0	9.403349392490421e-07
1418.181818181818	9.403349392490421e-07
1436.3636363636363	9.711140725903137e-07
1454.5454545454545	9.711140725903137e-07
1472.7272727272727	9.711140725903137e-07
1490.909090909091	9.711140725903137e-07
1509.090909090909	8.224347741055147e-07
1527.2727272727273	8.224347741055147e-07
1545.4545454545455	8.224347741055147e-07
1563.6363636363635	8.224347741055147e-07
1581.8181818181818	9.39788190016654e-07
1600.0	9.39788190016654e-07
1618.181818181818	9.39788190016654e-07
1636.3636363636363	9.39788190016654e-07
1654.5454545454547	9.230011658534563e-07
1672.7272727272727	9.230011658534563e-07
1690.909090909091	9.230011658534563e-07
1709.090909090909	9.230011658534563e-07
1727.2727272727273	9.208917107664556e-07
1745.4545454545455	9.208917107664556e-07
1763.6363636363635	9.208917107664556e-07
1781.8181818181818	9.208917107664556e-07
1800.0	8.540688068755265e-07
1818.181818181818	8.540688068755265e-07
1836.3636363636363	8.540688068755265e-07
1854.5454545454545	8.540688068755265e-07
1872.7272727272727	8.468451982113367e-07
1890.909090909091	8.468451982113367e-07
1909.090909090909	8.468451982113367e-07
1927.2727272727273	9.352578151511919e-07
1945.4545454545455	9.352578151511919e-07
1963.6363636363635	9.352578151511919e-07
1981.8181818181818	9.352578151511919e-07
2000.0	1.0944617182825752e-06
