Wavelength (nm)	Transmission
200.0	3.7299322957472544e-11
218.1818181818182	3.7299322957472544e-11
236.36363636363637	3.7299322957472544e-11
254.54545454545453	2.129707055282485e-10
272.72727272727275	2.129707055282485e-10
290.9090909090909	2.129707055282485e-10
309.09090909090907	2.129707055282485e-10
327.27272727272725	3.6578594860302622e-09
345.45454545454544	3.6578594860302622e-09
363.6363636363637	3.6578594860302622e-09
381.8181818181818	3.6578594860302622e-09
400.0	4.598138184342878e-09
418.18181818181813	4.598138184342878e-09
436.3636363636364	4.598138184342878e-09
454.5454545454545	4.598138184342878e-09
472.72727272727275	4.337788539472762e-08
490.9090909090909	4.337788539472762e-08
509.09090909090907	4.337788539472762e-08
527.2727272727274	5.057868468253485e-07
545.4545454545455	5.057868468253485e-07
563.6363636363636	5.057868468253485e-07
581.8181818181818	5.057868468253485e-07
600.0	6.688818931992004e-07
618.1818181818181	6.688818931992004e-07
636.3636363636363	6.688818931992004e-07
654.5454545454545	6.688818931992004e-07
672.7272727272727	7.192062836055634e-07
690.9090909090909	7.192062836055634e-07
709.090909090909	7.192062836055634e-07
727.2727272727273	7.192062836055634e-07
745.4545454545455	8.307003489665133e-07
763.6363636363636	8.307003489665133e-07
781.8181818181818	8.307003489665133e-07
800.0	8.307003489665133e-07
818.1818181818181	8.848652202735487e-07
836.3636363636364	8.848652202735487e-07
854.5454545454545	8.848652202735487e-07
872.7272727272727	8.848652202735487e-07
890.9090909090909	9.718605897959626e-07
909.090909090909	9.718605897959626e-07
927.2727272727273	9.718605897959626e-07
945.4545454545455	9.73430914285222e-07
963.6363636363636	9.73430914285222e-07
981.8181818181818	9.73430914285222e-07
1000.0	9.73430914285222e-07
1018.1818181818181	1.008693843746771e-06
1036.3636363636365	1.008693843746771e-06
1054.5454545454547	1.008693843746771e-06
1072.7272727272727	1.008693843746771e-06
1090.909090909091	1.003010689326103e-06
1109.0909090909092	1.003010689326103e-06
1127.2727272727273	1.003010689326103e-06
1145.4545454545455	1.003010689326103e-06
1163.6363636363635	1.1027396334775929e-06
1181.8181818181818	1.1027396334775929e-06
1200.0	1.1027396334775929e-06
1218.181818181818	1.1027396334775929e-06
1236.3636363636363	1.1469371384490279e-06
1254.5454545454545	1.1469371384490279e-06
1272.7272727272727	1.1469371384490279e-06
1290.909090909091	1.1469371384490279e-06
1309.0909090909092	1.1424103961048856e-06
1327.2727272727273	1.1424103961048856e-06
1345.4545454545455	1.1424103961048856e-06
1363.6363636363635	1.1424103961048856e-06
1381.8181818181818	1.1237069632197435e-06
1400.0	1.1237069632197435e-06
1418.181818181818	1.1237069632197435e-06
1436.3636363636363	1.1104131524657958e-06
1454.5454545454545	1.1104131524657958e-06
1472.7272727272727	1.1104131524657958e-06
1490.909090909091	1.1104131524657958e-06
1509.090909090909	1.1304506918742062e-06
1527.2727272727273	1.1304506918742062e-06
1545.4545454545455	1.1304506918742062e-06
1563.6363636363635	1.1304506918742062e-06
1581.8181818181818	1.2410695475407548e-06
1600.0	1.2410695475407548e-06
1618.181818181818	1.2410695475407548e-06
1636.3636363636363	1.2410695475407548e-06
1654.5454545454547	1.216122898086705e-06
1672.7272727272727	1.216122898086705e-06
1690.909090909091	1.216122898086705e-06
1709.090909090909	1.216122898086705e-06
1727.2727272727273	1.1507762624992024e-06
1745.4545454545455	1.1507762624992024e-06
1763.6363636363635	1.1507762624992024e-06
1781.8181818181818	1.1507762624992024e-06
1800.0	1.16036860086533e-06
1818.181818181818	1.16036860086533e-06
1836.3636363636363	1.16036860086533e-06
1854.5454545454545	1.16036860086533e-06
1872.7272727272727	1.1996563283209492e-06
1890.909090909091	1.1996563283209492e-06
1909.090909090909	1.1996563283209492e-06
1927.2727272727273	1.203219751751924e-06
1945.4545454545455	1.203219751751924e-06
1963.6363636363635	1.203219751751924e-06
1981.8181818181818	1.203219751751924e-06
2000.0	1.1638146907738414e-06
