Wavelength (nm)	Transmission
200.0	2.3876018936954247e-11
218.1818181818182	2.3876018936954247e-11
236.36363636363637	2.3876018936954247e-11
254.54545454545453	1.6499854715936996e-10
272.72727272727275	1.6499854715936996e-10
290.9090909090909	1.6499854715936996e-10
309.09090909090907	1.6499854715936996e-10
327.27272727272725	3.4618585359537203e-09
345.45454545454544	3.4618585359537203e-09
363.6363636363637	3.4618585359537203e-09
381.8181818181818	3.4618585359537203e-09
400.0	2.2251268998504656e-09
418.18181818181813	2.2251268998504656e-09
436.3636363636364	2.2251268998504656e-09
454.5454545454545	2.2251268998504656e-09
472.72727272727275	3.896743311147646e-09
490.9090909090909	3.896743311147646e-09
509.09090909090907	3.896743311147646e-09
527.2727272727274	9.452240869489655e-08
545.4545454545455	9.452240869489655e-08
563.6363636363636	9.452240869489655e-08
581.8181818181818	9.452240869489655e-08
600.0	2.755146944693144e-07
618.1818181818181	2.755146944693144e-07
636.3636363636363	2.755146944693144e-07
654.5454545454545	2.755146944693144e-07
672.7272727272727	3.6193755468212356e-07
690.9090909090909	3.6193755468212356e-07
709.090909090909	3.6193755468212356e-07
727.2727272727273	3.6193755468212356e-07
745.4545454545455	4.166585886853133e-07
763.6363636363636	4.166585886853133e-07
781.8181818181818	4.166585886853133e-07
800.0	4.166585886853133e-07
818.1818181818181	4.661130810748733e-07
836.3636363636364	4.661130810748733e-07
854.5454545454545	4.661130810748733e-07
872.7272727272727	4.661130810748733e-07
890.9090909090909	5.973652427801521e-07
909.090909090909	5.973652427801521e-07
927.2727272727273	5.973652427801521e-07
945.4545454545455	6.092363907154311e-07
963.6363636363636	6.092363907154311e-07
981.8181818181818	6.092363907154311e-07
1000.0	6.092363907154311e-07
1018.1818181818181	5.265427329457781e-07
1036.3636363636365	5.265427329457781e-07
1054.5454545454547	5.265427329457781e-07
1072.7272727272727	5.265427329457781e-07
1090.909090909091	7.137626642502772e-07
1109.0909090909092	7.137626642502772e-07
1127.2727272727273	7.137626642502772e-07
1145.4545454545455	7.137626642502772e-07
1163.6363636363635	5.286956090262651e-07
1181.8181818181818	5.286956090262651e-07
1200.0	5.286956090262651e-07
1218.181818181818	5.286956090262651e-07
1236.3636363636363	5.421305079809284e-07
1254.5454545454545	5.421305079809284e-07
1272.7272727272727	5.421305079809284e-07
1290.909090909091	5.421305079809284e-07
1309.0909090909092	5.897673676580139e-07
1327.2727272727273	5.897673676580139e-07
1345.4545454545455	5.897673676580139e-07
1363.6363636363635	5.897673676580139e-07
1381.8181818181818	7.216712589761772e-07
1400.0	7.216712589761772e-07
1418.181818181818	7.216712589761772e-07
1436.3636363636363	6.956616933324523e-07
1454.5454545454545	6.956616933324523e-07
1472.7272727272727	6.956616933324523e-07
1490.909090909091	6.956616933324523e-07
1509.090909090909	8.499542892185744e-07
1527.2727272727273	8.499542892185744e-07
1545.4545454545455	8.499542892185744e-07
1563.6363636363635	8.499542892185744e-07
1581.8181818181818	8.890934681597398e-07
1600.0	8.890934681597398e-07
1618.181818181818	8.890934681597398e-07
1636.3636363636363	8.890934681597398e-07
1654.5454545454547	7.335111061186722e-07
1672.7272727272727	7.335111061186722e-07
1690.909090909091	7.335111061186722e-07
1709.090909090909	7.335111061186722e-07
1727.2727272727273	7.348287945279583e-07
1745.4545454545455	7.348287945279583e-07
1763.6363636363635	7.348287945279583e-07
1781.8181818181818	7.348287945279583e-07
1800.0	7.674511290258129e-07
1818.181818181818	7.674511290258129e-07
1836.3636363636363	7.674511290258129e-07
1854.5454545454545	7.674511290258129e-07
1872.7272727272727	7.934133995515225e-07
1890.909090909091	7.934133995515225e-07
1909.090909090909	7.934133995515225e-07
1927.2727272727273	8.430975844505661e-07
1945.4545454545455	8.430975844505661e-07
1963.6363636363635	8.430975844505661e-07
1981.8181818181818	8.430975844505661e-07
2000.0	8.113135002396829e-07
